JS2gene,F.halapii_gene,F.major_gene,F.muscicola_gene,F.pepsitadii_gene,F.thermalis_gene,F.welwii_gene
btuD_8,leuC,uvrC,alaS,murG_1,NA,treS_1
mshA_8,leuD,rlmN,recF_2,murG_2,NA,nhaH
arnC_4,rnc_1,cbiF,egtB_1,tuaD_1,NA,ydbD_2
sodA2,wcaJ_1,lgt_1,ydcV,czcR_2,NA,rutD_1
bepA_3,araQ_1,coaD,rcsC_27,mprA_5,NA,mntH_1
glyQ,btuD_9,nit1,gfo,sasA_11,NA,ddl
rluE,ubiB_2,pepP_1,thiC,der_2,NA,psaA_2
sasA_14,trpB_4,xfp,mazF9,tpiA,NA,yfcG_2
pknD_16,yciH,polA,rluE,folP,NA,ycf3_5
wbgU,dps_2,yidA,sasA_15,btuD_11,NA,psaM
purD,carB,spkF,pknD_16,sigA2_2,NA,PSK
sasA_15,sigA2_9,cmpR_3,wbgU,liaR,NA,lacG
menH_5,sasA_14,nuoL_2,purD,era_3,NA,auaH_3
ybiT_1,novR,ndhD1_3,sasA_16,mshA_3,NA,yeeZ
cmpR_1,ysdC,cimA,cmpR_2,ykfA_1,NA,dnaJ_2
ubiB_3,IMPDH_1,thiG,ubiB_2,ugpB,NA,aroF_1
prpC,walR_1,yhdJ,prpC,rcsC_18,NA,egtB_6
spkA_2,radA,garR,spkA_1,phoP_2,NA,ahcY
anmK,btuD_10,yqjG_2,anmK,patA_3,NA,argJ
eis_1,pknD_11,dpnM_1,eis,smc_2,NA,gatB
yhbE,pknD_12,lptB_3,yhbE_1,tilS,NA,recR
dfa3_1,rimP,pgi,yhbE_2,ccsA,NA,pstS_2
dfa5_1,nusA,psbC_1,lapB_3,accC,NA,cysQ
ggt_1,infB,psbC_2,cysC_1,psbX,NA,yihV
cpdA_3,prsA_1,isiB,ctpF_1,tolB_7,NA,rsmI
eis_2,btuD_11,walR_2,gcvT_2,tolB_8,NA,rpsU1_1
rcsC_16,hlyD_1,slyA,gcvH,COQ5_7,NA,pth
undec1A,surA_1,entS_1,gcvP,ribBA,NA,tatA
estB_1,bshA_2,acyP,ndhI_2,argC,NA,psbH
purH,exoA,petF,nudF_2,eno,NA,psbN
susA_2,gltX,nucH,egtB_2,gloA,NA,mtfA
purM,thiC,lacF_1,recG,clpB1_1,NA,menH_2
susA_3,petF_1,pfp_2,tsf,htpG,NA,acuC
bamA_3,nucH,budB,rpsB,ubiL,NA,gshA
devR,lacF_1,gabD1,arnC_3,divK_3,NA,trmL
cesA,rluE,cysG,coaX,rssB_7,NA,prxU
menG_1,sasA_15,cobI,dfa3_2,sasA_12,NA,resA_2
uvrB,pknD_13,cobH,dfa5_3,phoP_3,NA,emrB_1
serA,wbgU,sir_2,sat,ctaE_2,NA,fzlA
prmA,purD,cobL,lyr,ctaD_2,NA,dnaJ_3
ctaD_1,sasA_16,mscS,arnT_1,fdxB,NA,glgC
nhaG,cmpR_2,hcaR_2,cpoB_5,COQ5_8,NA,psbC
mntH_2,ubiB_3,coaE,gatD,btuD_12,NA,psbD1_1
treS_1,prpC,nasF_2,prfB,rcsC_19,NA,ycf4
gnl,htrA_2,cpoB_10,ybeY,mdh,NA,fabF_1
livQ_1,ispG_2,rcsC_14,dgkA,ndhO,NA,gdhA
zupT_1,fusA_2,rcsC_15,trpG,mutM,NA,ybaQ_1
tcrA_2,cpoB_8,ktrB,walR_1,psaE,NA,selU
rcsC_17,spo0F,ktrA,radA,mraY,NA,moeZ
cysA_1,icd,cpoB_11,ycf3_5,remA,NA,ndbB_2
cysL_1,malK,yjjG,btuD_10,gmk,NA,ureA
petJ_1,pknD_14,ndbB,pknD_17,psaL_1,NA,ureD
cbiQ_2,cysH,iscS_2,pknD_18,psaJ,NA,psbA2_1
yyaP_1,cpdA_2,eda,rimP,psaF_1,NA,glgA_1
oxyT,COQ3_1,ftsH3,nusA,tsaD,NA,malQ_2
pbpE_2,ycf12,ilvE_2,infB,menH_2,NA,glgX_1
xerD_1,aroK,btuD_6,btuD_11,prmC,NA,treZ
nrdB,fda,purU,hlyD_2,ywlC,NA,dhmA
yhjQ_1,purK,tatC,surA,rcsC_20,NA,ureB1
yhjQ_2,aspC_1,nadB,aroC,secF,NA,banIM
isiB,fbaB,argH,ghrB_1,secD,NA,cobN
cnrA_1,cph1_2,larB,glgA_1,bfmBAB,NA,lpxB_2
menG_2,rcp1_3,ispF,sasA_17,hemB_2,NA,arnE_1
cysL_2,ydeP,trmD,mtfA,prfC,NA,cocE
psb28_2,sfsA,cphB,rutD_2,htpX_1,NA,mnmA
blh,allB,cphA,menH_5,mshA_4,NA,bcp_1
tcrA_3,bacC_1,tatAy,psbU,rqcH,NA,lysDH
sasA_16,COQ5_9,dnaK_1,salL,znuA_1,NA,crtI
srrA_1,macB_3,crnA,pfp,znuC,NA,psbD1_2
tmoS_1,phoD_2,metK_2,rsmF,znuB_1,NA,ecfA1
rcsC_18,yhhT_3,yhfK_1,bacC_3,dhaL_1,NA,cefD_2
arnE_1,tolB_4,sdhA,comM,dhaL_2,NA,rutB
ppm1_1,btuD_12,gltS,cpcG4_1,dhaK,NA,mshA_10
arnT_2,atpD,dxr,cpcG4_2,sigB_1,NA,cysG
tcrA_4,atpC,algA,cpcG2,dusA,NA,iolC
yvdM,pknD_15,rpsL,cpcG1,rihB,NA,era_3
COQ5_5,mfd_2,rpsG,cpcF,crnA,NA,lacF_1
rtcB_1,opuBA,fusA_1,cpcE,ppgK,NA,slyA
rcp1_2,mshA_9,tuf,cpcD,tatC,NA,emrA_2
rcsC_19,btuD_13,rpsJ,cpcC,hmo,NA,entS_2
guaA,soxA,lon2_1,cpcA,pepE,NA,emrB_2
ychF,dnaE,pheA,cpcB,nfuA_1,NA,glmM
speA_1,dctA,rnhB,pecF,rcsC_21,NA,pbsA1_1
dusB,ribBA,rne,pecE,lepA,NA,yjiA_1
dnaK2_2,argC,clpS_1,pecC,ndk,NA,yhfK_1
adc,eno,pknD_14,pccA,speA_2,NA,smc_2
fdxB,gloA,btuD_7,pccB,cugP_2,NA,yhdG_2
ctaD_2,clpB1_2,sphR_2,rluD,acsA,NA,aat
ctaE_1,mraY,grxD,patA_2,cpoB_11,NA,ftsX
kynB,remA,prcA,zosA,bamA_2,NA,def_2
sasA_17,gmk,tadA_1,gltI,rcsC_22,NA,des
trpD2,psaL,hemA,cmpB_1,rcsC_23,NA,COQ5_9
carA,psaF,potA,cmpC_1,lon2_2,NA,sipS
rsbV,tsaD,potD,cmpD_1,znuA_2,NA,dac
mrnC,menH_1,htrA_2,pal_2,mntB_3,NA,rsmE
rlmB,prmC,mdtC_1,kinB,znuB_2,NA,estA
menH_6,tsaC,mprF,pstB3_1,macB_3,NA,kojP
pal_3,sasA_17,ybhN,pstA_1,pipB2_5,NA,pknD_21
rcsC_20,secF,kimA,pstC_1,upp_2,NA,atzE
pknD_17,secDF,sigA2_2,lspA,crtNb,NA,pdxA2
clpB1_2,bfmBAB,sipT_1,mtgA_2,rnr_2,NA,petM
rsmF,kefB_1,clcA_1,apt,rpmG,NA,nadK_1
bacC_3,hemB_1,walR_3,gsiC,sasA_13,NA,mprA_3
comM,prfC,sasA_18,btuD_12,dnaN,NA,cpoB_6
psbA3_1,htpX_3,mprA_2,trpC,dnaA,NA,crtN_2
htpX_4,mshA_10,auaH_4,lpdA,def_1,NA,cpoB_7
dinG,rqcH,sdhE,amyX,ctpC,NA,CARKD
perR,znuA,acpP_2,ycf3_6,linC,NA,nfi
merA_2,znuC,fabF,dnaG,cpoB_12,NA,COQ3_3
cobD_2,ziaR_2,tkt_1,selU,bioF_2,NA,btuD_12
hup,znuB,sufE,moeZ,hcaB_3,NA,miaB
sctC,gltC,psaK_1,nplT,ugtP_1,NA,yffB
fpgS,rutD,dapB,clpB1_1,ugtP_2,NA,eda
psbY,metG,cbiC,pknD_19,yghQ,NA,dnaK_1
yrdA,lptC,rsmG,rcsC_28,macB_4,NA,uvsE
tam_2,plsX,iolG_2,pal_3,xerC_1,NA,emrA_3
map_1,fabH_2,mshA_7,menH_6,xerD_1,NA,pkwA_1
ndhD1_2,fabD,hepA_2,rlmB,amyM,NA,dnaG
nuoL_1,rip3_1,gloB,mrnC,kefB_4,NA,lptB_2
ccmK2,ureG_1,rplI,carA,ykqA,NA,lptA
ccmK1,hypA,dnaB,trpD2,hemH_1,NA,ftrC
ccmL,hypE,ycf3_6,rcsC_29,arsH_1,NA,mprA_4
ccmM,kduD,infC_1,kynB,ftsH2_2,NA,xfp
cmpR_2,hypD,fgd,merR1_1,lpxB_1,NA,rpsN
sasA_18,hybG,cysK1_2,pacS,cobN_1,NA,nth
mnmE_1,hypF,hemC,bamA_1,phrA,NA,mmpA
ecfA2_1,nfuA_1,glgA_1,pknD_20,mshA_5,NA,pknD_22
wecD,hydA,bcp_2,pucG,ddpC,NA,spkB
ampG_1,kdpB_1,pgl,cphB_1,glkA,NA,cmpR_2
murF,gltI,rph,gshAB,pknD_11,NA,ccmM
scrK,cmpB_2,adk_2,cpdA_2,nahK,NA,ccmL
gntK,cmpC_2,btuR,cysK1_2,czcA_1,NA,ccmK1
mtrA,cmpD_1,dcd,bioI,rcsC_24,NA,ccmK2
leuD1,pal_2,yjiA_2,dntB,mprA_6,NA,nuoL_1
leuC,sasA_18,pbsA1_1,rebD,steT,NA,ndhD1_3
pknD_18,plsY,glmM,aroF_2,yliI,NA,pknD_23
queA,mlaE,purB,rssB_4,puuB,NA,pknD_24
quiP,sppA_1,dhaA_2,lgrD_1,cysC,NA,sir_1
fabG_1,aroH,COQ5_3,tgnB,rcsC_25,NA,cobH
cpoB_10,pknD_16,COQ5_4,lgrB,cbiA,NA,cobIJ
mutS,pyk,hemH_1,lgrD_2,zwf2,NA,sufE
pds_2,mshA_11,lpxD_1,luxA,tal_2,NA,fpgS
cbpA,cugP_1,cobP,lgrD_3,fbp,NA,psbY
hspA_3,rfbD,lagD_1,panP,yhdG_1,NA,yrdA
moaC,rmlC,hlyD_2,tam_2,leuS_1,NA,map_2
cntE,menF_4,rnz,dltA_2,btuD_13,NA,merA_2
rssB_4,yggS,bacC,mepA,queA_1,NA,dapL_2
pcrA_1,sepF,sasA_19,mbtH,sasA_14,NA,crtNb_2
recB,proC_3,tcrA_1,hcaB_3,cmpR_3,NA,yfcG_3
miaB,gcvT_2,mdtA_2,yfiY,ccmM,NA,yedK
ddl,pknD_17,czcA,btuB_2,ccmL,NA,ycf3_6
bphD,rapA_4,hemN_1,yfiZ,ccmK1,NA,gatC
ribH,iolA,hemF_1,yfhA,ccmK2,NA,yqjG_1
psbZ,gshB,psbA3_2,yusV_1,nuoL_2,NA,menH_3
dxs_1,ftsZ,rnd_2,efeU,ndhD1_3,NA,aroE
mtnA,ftsQ,ycf3_7,ftsP,map_1,NA,rcsC_23
pknD_19,tolB_5,actP,cbiM,yrdA,NA,phoP_5
spkC_1,psbO,mnmG_1,czcD,psbY,NA,fmt
rplL,sigF_2,mnmG_2,cbiN,fpgS,NA,yqeN
rplJ,bcrA,rcsC_16,ecfA3,sctC,NA,rihB
rplA,arnC_8,rcp1_4,larMN,vapC_2,NA,argS
rplK,xseB,rcsC_17,malK,hup,NA,lpxD
nusG,xseA,rcsC_18,icd,cobD_1,NA,rcsC_24
secE,recA,moaE,trpE,merA_3,NA,tatC
rplS,glyS,rpoZ,psaD,perR,NA,nadB
mshA_9,murD,glgB,sasA_18,dinG,NA,rimO
pknD_20,rcsC_15,yacL,thrS_1,htpX_2,NA,crhR
der_1,aldH1,hemW,ndhD1_2,garR,NA,pucC
era_1,yedY1_2,clpS_2,thrB,ndhH_2,NA,suhB_2
mdtB,rnjA,hisC,ftsH_1,yqjG_3,NA,neoA
macA,dapA,apc4,mgtA_1,dpnM_2,NA,menA_1
cpeS2,asd,apc3,purC,lptB_2,NA,btuD_13
dfa5_2,tig,menD,bamA_2,pgi,NA,COQ3_4
dfa3_2,clpP_1,folB,lpxC,nusB,NA,mshA_11
coaX,clpX,sugA,fabZ,ftsY,NA,gmd_2
phoA,menH_2,smc_3,lpxA,cutA,NA,pknD_25
arnC_5,bepA_1,dasC,lpxB,hpnP_2,NA,atpC
rpsB,clcD,accA_1,apnhaP,hpnP_3,NA,atpD
tsf,rpsA_1,folE_2,tolB_4,rip3_1,NA,gabT
lptD_2,crtI_1,trpF,phnE_2,yffB,NA,bacC_1
sigX,cysA_3,psaK_2,glnQ_2,surA_2,NA,macB_2
recG,clpC_1,psaK_3,yabJ,hlyD_2,NA,bepR
ndhI_2,narB,rip3_2,malQ_1,btuD_14,NA,phoD
gcvP,nrtP,hypB_1,bepA_2,ftsH3,NA,pknD_26
gcvH,cmpD_2,hybF,rfaQ,ilvE_1,NA,dagK
gcvT_1,cmpC_3,hypE,ispD,rcsC_26,NA,hemC
thrS_2,nrtB_1,hypD,scpB,mprA_7,NA,glgA_2
thrZ,nrtA_2,hybG,hhoB,rcsC_27,NA,aroQ1
trmFO,sir_3,hypF,ispG,pcxA_3,NA,topA_1
yxaF_1,cmpR_3,hydA,gpmB,coaD,NA,ndhB_1
pip,trpD,ahcY,glk,lgt_2,NA,trpB_1
pfp,panD,valS,lysS,cbiF,NA,ubiB_3
cpoB_11,ppa,larE,ubiL,rlmN,NA,btuD_14
acsA_1,ndbB,apcD_1,psaI,uvrC,NA,araQ_1
mshA_10,gph_1,rlmCD,psbF,divK_4,NA,wcaJ_2
mshA_11,ycf3_3,asnS,psbE,ubiD,NA,mfd_1
gph_4,ktrA,phoP_4,norV_2,tpm,NA,metH
rpsA_1,ktrB,groS_1,ndhC,gpmA_3,NA,nadC
psbT,rcsC_16,groL1_1,ndhK1_2,pyrC_2,NA,nhaP2_1
psbB_1,rcsC_17,ruvB_2,ndhJ,ycf3_7,NA,dppB
dppB,cpoB_9,asnO,spkA_2,hdc_2,NA,cpoB_8
htrA_1,nasF_1,ycf3_8,ndhB_1,potE,NA,pknD_27
degU_1,coaE,moaA_2,gabD1,pyrF,NA,sgrR
choB,hcaR,kmo_2,budB,tyrS,NA,psbB
dapF_1,tldD_1,ftsH4_1,hlyD_3,pbpG,NA,psbT
mnmG,iscS_1,rluB,lagD_2,sipS,NA,rpsA_1
rcsC_21,tri1,dps_2,chlN,tuaD_2,NA,gph_2
rcp1_3,ndhB_2,rhaS,chlL,kefB_5,NA,dnaJ_4
rcsC_22,dapF_1,cbiT,sppA_2,ftsW_1,NA,clpP_2
rcsC_23,cutA,udg,fni,apbC,NA,clpP_3
moaE,yhgF,pyrF,COQ3_2,hemF,NA,arnT_1
splG,ftsY,tyrS,apaH_1,spoIIAA,NA,clcB
rpoZ,nusB,pbpG,pknD_21,cpcT2,NA,iscR
glgB,htpG,sipT_2,pknD_22,thf1,NA,cobD_2
yacL,gumI,ycf3_9,rsmA,tolR_2,NA,pyrR
hemW,hisS,eryG,ispE,tolQ_3,NA,pknD_28
clpS_1,ald_1,dnaE2,lexA,gatA,NA,dhaAF_1
hisC,amiE,gatA,argF,dnaE1,NA,tpm
apc4,hslO,clpC_1,pcxA_1,ftsW_2,NA,ubiD
apc3,mtcA2_2,mshD,ybaB,sasA_15,NA,rimM
menD,mdtA_2,lysA,smc_4,COQ5_9,NA,rapA_2
folB,bepE,dacA,djlA,apcC,NA,hemL_2
sugA,ppk_1,ispU,cbs,apcB_1,NA,hisI
glmM,vapC_1,dnaJ_3,fdx4,apcA_1,NA,phoP_6
pbsA1_1,spkF,hisZ,mshA_18,apcE_1,NA,ppaX
yjiA_1,cmpR_4,msrQ,arnC_4,comB_2,NA,hpd
dcd,nuoL_2,ndhB_1,COQ5_6,atpB,NA,ecfT
btuR,ndhD1_4,mprA_3,hepA_1,atpE,NA,der_1
adk_1,sasA_19,sasA_20,rfbC,atpG_1,NA,nagB
rph,kaiC_1,spkA_2,hldD,atpF,NA,trpE
pgl,cimA,thrS_2,lhgD,atpH_1,NA,psaD
tkt_2,thiG,trmFO,rfbF,atpA,NA,sasA_14
fabF_2,yhdJ,gcvT_2,cpoB_6,atpG_2,NA,thrS
acpP_2,garR,gcvH,pphC,ssrA,NA,sctC
sdhE,yqjG_2,gcvP,rcsC_30,rsbW,NA,cesA
sasA_19,lptB_1,ndhI_1,pheT,petD,NA,sir_2
mprA_3,pgi,recG,dpnM_1,petB_1,NA,obg
auaH_2,gntK,tsf,trpF_2,cpcS1,NA,rmlD
mdtC_1,hemH_2,rpsB,Dml,yagG,NA,gcvP
htrA_2,rocA,arnC_3,sasA_19,gpt,NA,gcvH
potB,rbsK,coaX,murE,sasA_16,NA,gcvT_1
potD,cugP_2,dfa3_2,rnd_2,rcp1_2,NA,rcsC_25
potA,ilvB_3,dfa5_2,glpE_2,cph1_1,NA,rcsC_26
mrdA_2,entS_2,cpeS2,pdxA2,ywnH,NA,rcsC_27
hemA,wecD,macA,petM,nifS,NA,dhaAF_2
tadA_2,ampG_2,mdtB,nadK_2,nfuA_2,NA,csaA
prcA,murF,pknD_15,mprA_1,nifH,NA,cmpA
grxD,prfA,mshA_8,sasA_20,nifD_1,NA,cmpB_1
sphR_2,rpmE,rplS,rpmI,nifK_1,NA,cmpC_1
btuD_9,rpsI,secE,rplT,nifD_2,NA,cmpD_1
tolB_3,rplM,nusG,glnH,nifK_2,NA,bicA_1
pknD_21,truA,rplK,chlB,nifW2,NA,bicA_2
clpS_2,rplQ,rplA,vat,hesA1,NA,nhaS3_2
rne,rpoA,rplJ,apaH_2,hesB1,NA,hutZ
rnhB,rpsK,rplL,bepA_3,fdxH,NA,yajO
pheA,rpsM,pknD_16,mshA_19,cyoE,NA,dps_3
lon2,infA,mtnA,mshA_20,ctaB1,NA,spkA_2
rpsJ,adk_2,dxs_1,trmR_2,mopII,NA,pknD_29
tuf,secY,hemE,ctpF_2,hybD,NA,lptD
fusA_2,rplO,ptrB,pknD_23,ctaD_3,NA,psbI
rpsG,rpsE,ugpB,lptD,ctaE_3,NA,livQ_1
rpsL,rplR,ykfA,psbI,hydA,NA,hcaD
gltS,rplF,era_2,thrS_2,nfuA_3,NA,fabG_1
sufE,rpsH,liaR_2,envC,hypF,NA,gnl_1
psaK_1,rplE,aroA1,arlR_2,hybG,NA,adh
dapB,rplX,cefD,dapL_1,hypD,NA,ydaP
cbiC,rplN,gldA,gldA,hypE,NA,gnl_2
rsmG,rpsQ,dapL_2,cefD_1,hybF,NA,gltC
iolG_1,rpmC,cadI,hemB_1,hypB_1,NA,rutD_2
mshA_12,rplP,sphX_2,yciC_1,nifB,NA,metG_1
hepA_2,rpsC,acr3,pipB2_2,ykuD,NA,lptC
bshA_3,rplV,arsH,lacF_1,mscS_1,NA,mazE6
gloB,rpsS,arsC,purN,cefD_3,NA,mazF6
rplI,rplB,rnc_2,fosA,oxyL,NA,plsX
ycf3_5,rplD,dnaJ_4,acnB,hcaC,NA,fabH_2
infC_2,rplC,clpP_3,btuD_13,pyrG,NA,fabD
fgd,ndhN,clpP_4,COQ3_3,ftsH_1,NA,per1
cysK1_2,bicA_1,arnT_3,nfi,pknD_12,NA,pknD_30
hemC,araQ_2,clcB_1,cysC_2,xylB,NA,ileS
glgA_1,psbV,iscR,cysC_3,rcsC_28,NA,prlC
bcp_1,petE,cobD_1,gerN,ecfA2_1,NA,psbM
dxr,petJ_1,pyrR,kefB_4,larMN,NA,psbK
sdhA,pknD_18,pknD_17,yadH,ecfA3,NA,tgt
yhfK_2,pkwA_3,dhaAF,estP,cbiQ,NA,cobS
aatB,pknD_19,cas4,lacF_2,cbiN,NA,barS1
metK_3,gpt,infC_2,rpsU1_4,cbiM,NA,amiB2
mftE,yjmB,cbiA,glsA,mglA,NA,sdhE
uvsE,cpcS1,zwf2,psaA_1,rcsC_29,NA,acpP_1
dnaK_2,petB_2,tal_1,psaB1_1,dauA,NA,fabF_2
eda,petD_2,fbp,cynS,divK_5,NA,tkt_2
ssuC_2,rsbW_1,nrgA,pvuIIM_2,rocA,NA,pkwA_2
ompA_3,moeA,hxuB,mprA_2,mprA_8,NA,ssrA
ftsH3,ywnH,pmbA,smpB,actP,NA,atpG_1
ilvE_2,araQ_3,tldD_2,sasA_21,ycf3_8,NA,atpA
trmR_2,accA_2,novN,desV_2,rnd_2,NA,atpH
dltA_2,fabG_2,rfbD,msrA,ankX,NA,atpF
mmcR_2,folE,rmlC,pknD_24,yhfK,NA,atpG_2
btuD_10,trpF,rmlA,rffG,ldhA,NA,atpE
purU,psaK_2,mshA_9,fdhD,menH_3,NA,atpB
btuD_11,psaK_3,mshA_10,cpoB_7,xpkA_1,NA,apcE
tatC,kefB_2,mshA_11,sfsA,pgm,NA,apcA
nadB,yqjG_3,asnB,pstS_2,hlyD_3,NA,apcB
argH,estP,mshA_12,pstC_2,btuD_15,NA,apcC
larB,lacF_2,tam,pstA_2,prsA_3,NA,cpdA_5
ispF,resA_1,dltA_2,pstB3_2,panB,NA,sigK
trmD,glsA,mepA,rqcH,cbbL,NA,ftsW_1
cphB_2,psaA_1,mbtH,mshA_21,cbbS,NA,galE_2
cphA,psaB1,hcaB,htpX_3,ykfA_2,NA,yheI
tatAy,cynS,pstB3_2,prfC,gtaB,NA,hemN
cph2_1,pvuIIM,pstA_2,hemB_2,galK_1,NA,pbsA1_2
ybiT_2,mprA_2,sphX_3,kefB_5,leuS_2,NA,vldW
rcsC_24,smpB,modA,bfmBAB,ynhG,NA,ychF
cheB_3,sasA_20,modB,secD,livH_1,NA,speA_2
cheR_2,norR,cysA_2,secF,selD,NA,ackA
rcsC_25,mcrA_2,glgX_2,sasA_22,lgrE,NA,dnaK2_1
rcsC_26,entS_3,tadA_2,tsaC,btuD_16,NA,dusB
lnrL_2,fabG_3,rihA,prmC_2,fdtC,NA,mlaE_1
PSK,yjiA_1,truB,menH_7,arnE,NA,mazG
psaM,pbsA1_1,kdpB_1,tsaD,iolG_2,NA,sasA_15
ycf3_6,glmM,ytaF,psaF_1,desV_2,NA,rcp1_4
yfcG_1,rsmF,kdpB_2,psaL_1,fmt_1,NA,sasA_16
hemE,bacC_2,egtB_3,gmk,galE1,NA,rcsC_28
ptrB,comM,kdpB_3,remA,arnB_1,NA,clpB1_2
malE,psbA3_2,teaD,mraY,mshA_6,NA,glgX_2
ykfA,cpcG4_1,bicA_1,psaE,mshA_7,NA,dxs_2
era_2,cpcG4_2,sasA_21,mutM,mshA_8,NA,ftsP
liaR_2,cpcG2,nhaP2_2,ndhO,mshA_9,NA,efeU
aroA1,cpcG1,petB_1,mdh,mshA_10,NA,pacL_1
cefD_1,cpcF,nifJ_1,btuD_14,COQ5_10,NA,recF
gldA,cpcE,psaL_2,ephA,rcsC_30,NA,pacL_2
dapL_2,cpcD,psaB,COQ5_7,ompR_1,NA,ald_1
aqpZ,cpcC,psaA_1,ettA,patA_4,NA,cpoB_9
arsC_1,cpcA,phoP_5,rsfS,pip_2,NA,lnrL_2
rnc_1,cpcB,sasA_22,aldHT,rpsU1_2,NA,nadE
dnaJ_5,pecF,rssB_5,ycf3_7,tolB_9,NA,nadD_2
yjcG,pecE,chlF,ftsX,cetB,NA,pncB2_1
smc_4,pecC,psbA1,def_1,clpP_2,NA,uvrB
purB,pccA,apcD_2,glgC,clpP_3,NA,ycf3_7
dhaA_1,pccB,apcB_1,dnaJ_4,dnaJ_1,NA,serA
chaB,rluD,apcD_3,resA_2,rnc_1,NA,prmA_2
hcaB_2,patA_1,apcE_1,prxU,arnT_2,NA,hdc_1
pknD_22,nasF_2,apcD_4,trmL,clcB,NA,ureC1
COQ5_6,cbiX,psbD1,gshA,iscR,NA,pknD_31
COQ5_7,murJ,psbC_3,acuC,cobD_2,NA,pknD_32
hemH_1,tagU_1,psbB_2,alkJ,pyrR,NA,speH
cobP,manC1,psbH_1,ydaF,rsmE,NA,speE
lagD_2,rsmB,psaF_2,srpB_1,sir_2,NA,sigA2_3
hlyD_3,mtgA_2,crtN,purK,tri1,NA,shc
rnz,folK,hhoA,ftsH3,dps_2,NA,pucG
sasA_20,act,hslO,ilvE_1,sasA_17,NA,pknD_33
tcrA_5,cymR_2,lgrE,trmR_3,nhaP2_2,NA,bamA_3
rnd_3,cysK1_3,selD,btuD_15,petB_2,NA,tolB_5
ycf3_7,dnaJ_2,hfq,purU,cbiL,NA,frbC
actP,gabR,dapF,btuD_16,petJ_1,NA,cysE_1
qorA,trpS,qorA,potB,petE,NA,COQ5_10
sasA_21,yitJ,garB,potD,psbV,NA,sasA_17
walR_2,glgP_1,queD,potA,araQ_1,NA,actP
garB,gutB_1,hemB_2,lip1,lacF_3,NA,ycf3_8
phoP_3,iscS_2,yciC_3,ilvE_2,accD,NA,rnd_2
rcsC_27,regX3_1,aroF_2,crtI_2,leuB,NA,psbA2_2
pleD_1,rcsC_18,dnaJ_5,lysDH,hflX,NA,ttuD
rssB_5,hyuE,yeeZ,bcp_1,gshB,NA,mshA_12
moeA,pknD_20,kdpC_2,rhaS_3,ftsZ,NA,mshA_13
pknD_23,sasA_21,kdpD,azoR1_1,ftsQ,NA,hcaB_3
pkwA_1,modA,ligA,fur_1,tolB_10,NA,psaB1_2
pknD_24,btuD_14,rcsC_19,todB,psbO,NA,glf
spkB_2,glcP,rcsC_20,xerC_1,sigB_2,NA,arnC_4
petJ_2,rbsA,rcsC_21,map_2,psaI,NA,btuD_15
petE,rfuC,rcsC_22,iolG_3,psbF,NA,arnC_5
psbV,glf_2,tal_2,rssB_5,psbE,NA,mshA_14
araQ_2,mshA_12,gap1,cysA_2,norV_1,NA,arnC_6
btuF_2,btuD_15,eno,cymR_2,ndhC,NA,mshA_15
yusV_2,mshA_13,argC,cysK1_3,ndhK1,NA,mshA_16
hmuU,arnC_9,ribBA,cynR,ndhJ,NA,sipP
bicA_1,mshA_14,tolB_2,namA,nadA,NA,pyrC_1
ndhN,mshA_15,tolB_3,ccmK1_2,rpsA_2,NA,rcsC_29
rplC,sipP,psbX,hemE_1,clcD_2,NA,smc_3
rplD,pyrC_1,accC,divK_1,nox,NA,cysL
rplB,rcsC_19,cpdA_1,dauA,ydjP,NA,cbs
rpsS,smc_3,trmB,apbC_1,clpX,NA,fdx4
rplV,cbs,pacL_1,fosX,clpP_4,NA,polA
rpsC,polA,hmp,gloB_1,tig,NA,yidA
rplP,yidA_2,man5A,pipB,asd,NA,hhoA
rpsQ,pstS_1,pknD_18,yfcA_1,dapA,NA,betI_3
rplN,xerC_10,btuB_3,ucpA_2,rnjA,NA,pimB
rplX,scmP_1,petJ_1,yieH,yedY1_1,NA,COQ3_5
rplE,besA,rpoD_1,tdh,aldH1,NA,ccsA
rpsH,ydaD,priA,aam,rcsC_31,NA,cinA
rplF,srkA,kdpA,rhdA,ureC,NA,proB
rplR,tolQ_1,kdpB_4,pyrE_1,ureB1,NA,betI_4
rpsE,tolR_1,glgA_2,yajO_1,ureA,NA,ghrB
rplO,merA_2,aroC,COQ3_4,ureD,NA,aroC
secY,bshA_3,surA,gph_2,groL1_1,NA,ada
adk_2,lgt_1,hlyD_3,cpcB3,groS_1,NA,gdhI
infA,nrtB_2,btuD_8,cpcA2,rssB_8,NA,sasA_18
rpsM,yjiA_2,prsA_2,atsK,cysW_1,NA,bcrA
rpsK,uvrA,infB,ntaA,cysT_1,NA,sigF
rpoA,lagD,nusA,ybdL,sbpA_1,NA,psbO
rplQ,hlyD_2,rimP,entS_1,asnS,NA,tolB_6
truA,carC_2,pknD_19,drrA,rlmCD,NA,ftsQ
rplM,acuC,spkB_1,fabL,apcD_2,NA,ftsZ
rpsI,gshA,pknD_20,quiP,purL,NA,gshB
rpmE,trmL,pkwA_2,queA,purF,NA,iolA
prfA,prxU,pknD_21,spkB_2,besA,NA,rapA_3
hcaR_1,resA_2,moeA,leuC,ydaD,NA,pknD_34
coaE,dnaJ_3,yafJ,leuD1,rsmG,NA,gcvT_2
