JS2gene,F.halapii_gene,F.major_gene,F.muscicola_gene,F.pepsitadii_gene,F.thermalis_gene,F.welwii_gene
phhB,kynU,btuD_1,add,walR_1,leuA,COQ5_4
bacC_1,COQ5_1,pknD_1,purA,radA,nadA,fosB_1
scmP_1,pyrG_1,amiB2,ftrV,ptrB,pyrC,cpoB_1
bioD1,cas2b,cobS,qmcA_1,hemE,gpmA,appC
pknD_4,cas1_1,tgt,zur,hpnP_1,der_2,cydB
prs,htpX_1,psbK,purS,slyD,ecfT,cmoA
ybxI,sthA,psbM,purQ,lpd,hpd,hisG
eriC,noc_5,prlC,hflX,sasA_2,ppaX,baiN
rcsC_5,ftsH_4,ileS_1,sasA_5,mprA_1,phoP_2,comB
gyrA_1,cadA_2,pknD_2,cmpR_1,COQ5_2,hisI,mtnB
lnt,fmt_1,gnd,ccmM,moaA_3,hemL,mtnX
phoD_1,bamA_2,btuD_2,ccmL,entS_1,smtA,mtnD
menH_1,pknD_1,mshA_2,ccmK1_1,tyrC,spkB,mrdA_1
xynZ_1,xerC_3,gmd_1,ccmK2_1,pimB,recA,nfuA_1
mprF,sigA2_4,cpoB_2,nuoL_1,thiE,xseA,rcsC_3
sugB,tpl_1,yidD,ndhD1_1,stp_1,xseB,lepA
msmX,sigA2_5,vte5_2,map_1,mprA_2,arnC_2,amtB
pknD_5,carC_1,pncB2,yrdA,yxlF,btuD_3,purE
ydbD,petB_1,nadD_1,psbY,purU,mshA_2,nagA
pknD_6,petD_1,nadE,fpgS,btuD_2,argD,chlM
apaH_1,pvadh,lnrL_1,sctC,algA,kefB_2,amt
COQ3_3,kshA,ycf3_2,hup,ysnE,tal_1,tlyA
fni,eryG,sufB,cobD_1,serA,pspA,era_1
sppA_1,menE_1,sufC,merA_1,prmA,ackA,rcsC_4
dnaG,tdh_1,sufD,btuD_4,carC_2,kynB,bspRIM
amyX,dltA_1,csd,rcsB,dxr,sasA_5,mntB_1
lpdA,nfrA2,copA,perR,sdhA,trpD2,mntB_2
trpC,smc_1,pds_1,dinG,metK_1,carA,bchI
btuD_3,anfK_1,cobQ,htpX_1,ppc,mrnC,bepA_1
gsiC,bchB_1,bcp_1,fbiC_1,psbA1_1,rlmB,ndhD1_1
apt,anfK_2,hisF,phoP_1,mntB_1,menH,mnmG
mtgA_1,bchB_2,ruvB_1,petC1,mntB_2,rcsC_5,phrB
lspA,nifD_1,cpoB_3,petA,typA,pknD_2,rcsC_5
pstC_1,nifH_1,cbbS,hisH,gcvT_1,dnaJ,rcp1_1
pstA_1,nifD_2,cbbL,rsmD,pknD_3,dnaK2,rcsC_6
pstB3_1,nifK_1,panB,mtnW,dhaA_1,pknD_3,rcsC_7
sasA_2,mopII_1,hxlR,hepT,chaB,clcA,moaE
pal_1,dbpA_2,rimM,murI,tenA,rcsC_6,msmX
cmpD_1,rapA_2,cpoB_4,nhaS3_1,lptB_1,lpxD,sugB
gltI,rapA_3,cpoB_5,styA,lptD_1,IMPDH,lnt
zosA,noc_6,queA,ptlI,ftrC,ysdC,gyrA_1
cpdA_1,soj_4,leuC,rnhA,pilT_1,sasA_6,rcsC_8
cysH,xerC_4,leuD1,rpmA,cbs,qmcA,amyX
tycC,sigA2_6,gntK,ribD_1,ilvD,folP,lpdA
sasA_3,cpdA_1,tolR_1,mreB,hcaR_1,tpiA,trpC_1
gdhI,hchA,tolQ_1,ssb,galE,ppsA,btuD_1
