cobO,grsB_1,lnt,speA_1,sseA,rcp1_1,egtB_1,frr
hisA,tycC_2,cpcS1,ndk,mnmC,rcsC_5,rcsC_2,ecfA3
steT,lgrD_3,yjmB,rutE,rcsC_3,kaiC,phoP_1,ecfT_1
rlmD_1,mepA_1,gpt,ubiB_1,glmU,kaiB_1,patA_1,larMN
sphR_1,rhaR_1,ywnH,btuD_2,mshA_1,kaiA,gph_1,actIII
sphS,btuB_1,yjiA_1,emrA_1,pyrD_1,rcsC_6,yhdG_1,inhA_1
phoU,yfiY_1,pkwA_1,pnp,xylE,arnT_1,hemL_1,ddlB
cysR_1,yheI_1,pyrG,rapA_1,garB_1,dbpA,eriC,ftsZ
COQ3_2,ltrA_1,dgkA,spo0M,garB_2,pheS,pyrE,ftsQ
arnC_1,xerD_2,ybeY,ycf3_1,hisC_1,surE_1,queC,pgsA
fbiC_1,nhaP2_1,prfB,cheB_2,rcsC_4,rbn,yceM,iutA_1
yqgN,yhhT_2,gatD,vraR,aroF_1,ribF,tyrP,aziB2
fcl,dap_2,ycf3_1,ppk_1,rpsO,secA,ilvA,isiB_1
gmd_1,rssB_2,arnT_1,hisD_1,glpK,dsbD,iolS_1,cntO_1
mshA_1,todS_2,lyr,rpoC2,chlB,ccsB,rluB,isiB_2
rnhA_1,phoP_1,sat,rpoC,glnH_1,queF,dps_1,cntO_2
pgsA,lysA_2,uvrB_1,rpoB,rplT,yjcG,rhaS_1,rhaR_1
aspA,lgrD_4,moaB,dtd3,rpmI,COQ5_1,cbiT,irtA
amiC,lgrB_3,dtd,rpsT,psbA3_1,rtcA,mscL,rhaR_2
livH_1,cysC_1,yciC_2,btuD_3,comM,ribA,pyrF,rhaR_3
lptB_1,besE,cysS,pds_1,bacC_1,upp_1,tyrS,btuB_2
btuD_2,camD_1,msmX_1,dnaJ_2,rsmF,divK_1,pbpG_1,trmR_1
folD,proC_1,gsiA_1,hspA_1,yqgF,susA_1,surE_1,cntO_3
pdxJ_1,acpP_1,alaS,moaC,pipB2_2,hxuB,wcaJ_1,rhaR_4
gsiA_1,choB,rbgA,cntE,clpS_1,devR,sigA2_1,dps_1
glsA1,lgrD_5,sasA_4,rgtE,rne,cesA,frp,iutA_2
rlpA_1,eryA,pcrA,arcB_1,rnhB,menG,gsiA_1,macB_1
panC/cmk,rhaS_1,era_1,crtB,mdtC_1,rssB_1,lipA2,macA_1
murQ,rfbE_1,sasA_5,pds_2,pheA,pcrA_1,cheB_1,lnrK_2
csm4,rfbJ,vte5_1,phzF,lon2_1,miaB,pknD_4,cntO_4
csm3,rfbG,rmlD,rlpA_1,rpsJ,tolB_1,czcR,cntO_5
vdcB,ilvB_1,obg,nagZ,tuf,ddl,iolS_2,cntO_6
rnr_2,linC_1,sir_1,ebrB,fusA_1,bphD,ilvC,cntO_7
clpP_1,tolB_2,upp_1,rcsC_7,rpsG,ribH,egtD,aqpZ_2
mobA,yhdN,crtNb,mutL,rpsL,yfcG_1,apcD_1,gutB_1
ilvH,kynA,prsA_1,glpE_1,gltS_1,hypA,glnA_1,amyM
phhB,kynU,btuD_1,add,walR_1,hypB_1,COQ5_4,scmP_1
bacC_1,COQ5_1,pknD_1,purA,radA,ompA_1,fosB_1,nfdA
scmP_1,pyrG_1,amiB2,ftrV,ptrB,ssuC_1,cpoB_1,rcsC_3
bioD1,cas2b,cobS,qmcA_1,hemE,nrtD,appC,cbiL
pknD_4,cas1_1,tgt,zur,hpnP_1,murB,cydB,cbiET
prs,htpX_1,psbK,purS,slyD,murC,cmoA,vraR_1
ybxI,sthA,psbM,purQ,lpd,nadD_1,hisG,sasA_4
eriC,noc_5,prlC,hflX,sasA_2,gap2,baiN,czcA_1
rcsC_5,ftsH_4,ileS_1,sasA_5,mprA_1,thiL,comB,kefB_1
gyrA_1,cadA_2,pknD_2,cmpR_1,COQ5_2,betA,mtnB,cbiC
